,time,BTC/USDT_change,ETH/USDT_change,BNB/USDT_change,MATIC/USDT_change,LTC/USDT_change,DOGE/USDT_change,XRP/USDT_change,LINK/USDT_change,ATOM/USDT_change,ETC/USDT_change
0,2019-01-01,2.59,5.82,-2.01,-44.95,5.21,-13.81,3.49,-8.59,-20.57,5.4
1,2019-01-02,1.64,9.28,1.0,-4.05,3.81,-9.66,2.29,-2.84,3.71,1.62
2,2019-01-03,-2.35,-3.76,-4.08,-15.16,-3.95,0.96,-4.4,2.77,12.24,-6.08
3,2019-01-04,0.66,3.88,3.01,-21.49,1.11,-2.26,0.15,-1.57,4.99,3.83
4,2019-01-05,-0.5,0.49,-0.11,27.75,8.09,-0.22,-1.28,0.65,15.73,-2.62
5,2019-01-06,5.74,0.67,5.14,-2.26,11.56,-3.34,3.42,2.75,-1.83,6.61
6,2019-01-07,-0.31,-2.96,-1.07,-3.01,-2.45,-3.8,-0.06,7.74,-7.66,-10.68
7,2019-01-08,-0.54,-1.13,5.08,0.95,3.61,1.61,0.16,-5.54,-1.55,1.62
8,2019-01-09,0.28,0.33,0.48,-6.15,-1.37,-0.29,1.13,-0.57,-3.51,0.42
9,2019-01-10,-9.59,-15.64,-10.78,-6.06,-14.04,-10.16,-11.01,-5.8,-6.26,-11.76
10,2019-01-11,0.43,-0.25,1.98,0.54,-4.02,5.27,0.36,-1.58,-10.64,1.06
11,2019-01-12,-0.5,-1.06,-1.61,-10.16,0.54,-8.59,-0.07,-7.68,-2.24,2.01
12,2019-01-13,-2.99,-7.45,-6.72,-0.6,-6.51,2.95,-4.37,-4.5,2.58,-7.17
13,2019-01-14,4.27,11.19,10.78,-6.55,7.13,8.08,5.56,9.77,-3.94,3.62
14,2019-01-15,-2.01,-6.3,-4.05,20.77,-3.06,-2.5,-2.16,-5.68,3.92,-3.93
15,2019-01-16,1.09,2.14,5.01,21.37,1.79,2.18,1.29,-9.84,2.64,3.16
16,2019-01-17,0.68,0.04,3.82,14.72,0.35,-0.76,-0.28,7.71,13.67,3.73
17,2019-01-18,-0.51,-1.97,2.72,64.08,-1.94,-3.16,-1.33,-0.65,-5.9,-2.13
18,2019-01-19,1.96,2.89,0.48,-9.72,3.96,-4.65,1.96,-4.96,3.4,0.51
19,2019-01-20,-3.45,-4.19,-1.86,23.04,-4.07,1.94,-3.04,-0.4,6.14,-3.02
20,2019-01-21,-0.35,-1.64,1.02,13.58,0.62,0.35,0.22,7.59,3.59,0.12
21,2019-01-22,1.25,1.89,0.09,33.98,1.91,0.5,-0.01,-5.3,-3.69,1.28
22,2019-01-23,-0.49,-1.15,0.29,-15.18,0.92,-2.95,-1.09,0.52,1.61,-0.69
23,2019-01-24,0.47,-0.01,-0.58,63.4,2.59,-0.15,0.54,9.0,-9.16,0.3
24,2019-01-25,-0.11,-1.11,3.63,46.33,0.52,-0.79,-0.63,5.51,0.65,1.22
25,2019-01-26,-0.04,0.18,3.85,0.54,0.37,0.8,-0.45,-3.21,2.75,-1.19
26,2019-01-27,-0.41,-2.84,1.36,-25.12,-1.77,2.27,-1.96,-4.58,-1.39,-1.43
27,2019-01-28,-3.26,-5.84,-12.43,23.66,-3.97,1.52,-4.67,0.0,2.19,-7.1
28,2019-01-29,-0.67,-0.99,0.03,-7.57,-0.42,-0.03,-1.81,3.13,3.95,-0.91
29,2019-01-30,1.41,3.72,0.09,-2.06,2.86,0.15,11.9,-3.69,2.42,2.69
30,2019-01-31,-0.68,-1.71,1.33,-2.54,-0.85,0.77,-3.76,2.53,-2.04,-1.14
31,2019-02-01,0.81,0.24,4.79,-7.53,3.88,4.22,-0.96,0.73,26.57,-0.84
32,2019-02-02,1.23,3.48,5.32,6.63,6.07,-2.91,1.31,4.97,-2.46,2.0
33,2019-02-03,-1.31,-2.76,-1.17,-7.02,-3.32,0.97,-2.65,2.06,-0.19,-2.18
34,2019-02-04,0.15,0.33,4.69,-10.89,1.97,-1.12,-0.88,-2.38,10.65,-0.57
35,2019-02-05,0.24,-0.35,10.75,12.37,0.76,-2.0,0.13,1.54,1.77,-0.42
36,2019-02-06,-1.91,-2.59,3.48,-5.05,-4.54,-2.43,-3.44,-3.88,-8.85,-3.07
37,2019-02-07,-0.25,-0.01,-3.99,-4.51,1.4,1.31,0.73,0.92,3.52,2.56
38,2019-02-08,7.67,14.14,10.12,-5.02,29.37,-1.3,7.06,2.34,-2.51,7.41
39,2019-02-09,0.13,-0.11,3.58,11.93,3.93,-0.66,0.06,-11.8,4.74,-1.46
40,2019-02-10,0.41,4.98,3.03,6.78,4.72,-4.17,-0.74,16.7,-2.91,2.02
41,2019-02-11,-1.32,-3.38,3.92,3.1,-8.33,-4.83,-2.36,-8.07,-4.44,-2.16
42,2019-02-12,0.01,1.27,-2.61,2.75,2.36,2.7,0.9,-1.41,4.39,-0.04
43,2019-02-13,-0.61,-0.44,-3.95,6.34,-5.19,-0.86,-0.42,-0.7,-2.19,0.75
44,2019-02-14,-0.49,-1.18,-1.69,-1.78,-0.84,2.65,-1.01,1.16,2.94,0.25
45,2019-02-15,0.33,1.0,6.02,6.35,3.2,3.32,0.37,-1.52,2.3,-0.26
46,2019-02-16,0.44,0.83,-1.9,-11.51,1.74,-2.4,-0.39,-0.64,-0.67,-0.35
47,2019-02-17,1.39,9.03,1.35,-3.56,1.32,-2.66,0.78,-3.97,-0.92,2.54
48,2019-02-18,6.3,8.91,4.3,0.26,9.0,0.2,6.22,6.5,8.57,4.88
49,2019-02-19,0.27,-1.54,8.95,-11.19,-1.4,0.69,0.16,0.12,4.78,3.62
50,2019-02-20,1.6,3.48,4.32,6.14,9.2,-1.58,2.79,5.24,-6.28,3.0
51,2019-02-21,-0.82,-1.84,-4.16,2.8,-4.92,-0.14,-3.23,1.99,0.64,-3.98
52,2019-02-22,0.63,1.15,2.75,-2.86,0.53,0.83,0.13,2.93,-2.16,3.94
53,2019-02-23,3.93,7.05,-0.29,3.31,4.43,-1.43,3.42,5.04,0.73,2.73
54,2019-02-24,-9.09,-16.26,-7.26,2.67,-14.87,-4.03,-10.37,-7.09,3.76,-15.1
55,2019-02-25,2.25,4.37,-2.49,-2.86,3.8,-2.85,9.99,5.06,1.09,3.83
56,2019-02-26,-0.5,-1.2,-2.89,-6.33,-1.41,0.11,-3.3,-1.38,-2.42,0.41
57,2019-02-27,0.23,-0.88,4.49,4.33,0.87,0.04,-1.88,1.18,-1.41,0.69
58,2019-02-28,-0.11,0.23,4.34,-4.06,1.02,0.34,1.08,0.0,-3.48,-1.56
59,2019-03-01,0.23,0.0,10.05,-1.52,3.13,5.06,0.57,-0.97,-12.47,0.27
60,2019-03-02,-0.06,-2.04,3.72,-7.34,3.13,-1.22,-0.58,-0.42,6.77,0.05
61,2019-03-03,-0.32,-1.46,-2.6,-6.51,-1.34,-2.14,-0.88,-0.67,2.19,0.24
