,time,btc_change,eth_change
0,2019-01-01,2.59,5.82
1,2019-01-02,1.64,9.28
2,2019-01-03,-2.35,-3.76
3,2019-01-04,0.66,3.88
4,2019-01-05,-0.5,0.49
5,2019-01-06,5.74,0.67
6,2019-01-07,-0.31,-2.96
7,2019-01-08,-0.54,-1.13
8,2019-01-09,0.28,0.33
9,2019-01-10,-9.59,-15.64
10,2019-01-11,0.43,-0.25
11,2019-01-12,-0.5,-1.06
12,2019-01-13,-2.99,-7.45
13,2019-01-14,4.27,11.19
14,2019-01-15,-2.01,-6.3
15,2019-01-16,1.09,2.14
16,2019-01-17,0.68,0.04
17,2019-01-18,-0.51,-1.97
18,2019-01-19,1.96,2.89
19,2019-01-20,-3.45,-4.19
20,2019-01-21,-0.35,-1.64
21,2019-01-22,1.25,1.89
22,2019-01-23,-0.49,-1.15
23,2019-01-24,0.47,-0.01
24,2019-01-25,-0.11,-1.11
25,2019-01-26,-0.04,0.18
26,2019-01-27,-0.41,-2.84
27,2019-01-28,-3.26,-5.84
28,2019-01-29,-0.67,-0.99
29,2019-01-30,1.41,3.72
30,2019-01-31,-0.68,-1.71
31,2019-02-01,0.81,0.24
32,2019-02-02,1.23,3.48
33,2019-02-03,-1.31,-2.76
34,2019-02-04,0.15,0.33
35,2019-02-05,0.24,-0.35
36,2019-02-06,-1.91,-2.59
37,2019-02-07,-0.25,-0.01
38,2019-02-08,7.67,14.14
39,2019-02-09,0.13,-0.11
40,2019-02-10,0.41,4.98
41,2019-02-11,-1.32,-3.38
42,2019-02-12,0.01,1.27
43,2019-02-13,-0.61,-0.44
44,2019-02-14,-0.49,-1.18
45,2019-02-15,0.33,1.0
46,2019-02-16,0.44,0.83
47,2019-02-17,1.39,9.03
48,2019-02-18,6.3,8.91
49,2019-02-19,0.27,-1.54
50,2019-02-20,1.6,3.48
51,2019-02-21,-0.82,-1.84
52,2019-02-22,0.63,1.15
53,2019-02-23,3.93,7.05
54,2019-02-24,-9.09,-16.26
55,2019-02-25,2.25,4.37
56,2019-02-26,-0.5,-1.2
57,2019-02-27,0.23,-0.88
58,2019-02-28,-0.11,0.23
59,2019-03-01,0.23,0.0
60,2019-03-02,-0.06,-2.04
61,2019-03-03,-0.32,-1.46
62,2019-03-04,-2.42,-3.79
63,2019-03-05,3.81,8.78
64,2019-03-06,0.11,0.5
65,2019-03-07,0.31,-0.41
66,2019-03-08,-0.23,-2.41
67,2019-03-09,2.02,2.82
68,2019-03-10,-0.67,-1.38
69,2019-03-11,-1.13,-1.99
70,2019-03-12,0.29,0.68
71,2019-03-13,-0.43,-1.47
72,2019-03-14,0.29,0.39
73,2019-03-15,1.2,3.27
74,2019-03-16,2.08,3.16
75,2019-03-17,-0.62,-1.61
76,2019-03-18,0.15,-0.78
77,2019-03-19,0.69,0.68
78,2019-03-20,0.64,0.32
79,2019-03-21,-1.54,-3.01
80,2019-03-22,0.15,0.84
81,2019-03-23,0.45,1.0
82,2019-03-24,-0.35,-0.87
83,2019-03-25,-1.38,-1.57
84,2019-03-26,0.33,0.16
85,2019-03-27,2.26,3.96
86,2019-03-28,-0.29,-1.15
87,2019-03-29,1.86,3.92
88,2019-03-30,0.07,-0.55
89,2019-03-31,-0.07,-0.74
90,2019-04-01,1.03,-0.12
91,2019-04-02,17.2,15.63
92,2019-04-03,1.55,-2.02
93,2019-04-04,-0.69,-1.63
94,2019-04-05,2.17,4.73
95,2019-04-06,0.78,0.4
96,2019-04-07,2.54,5.22
97,2019-04-08,1.29,2.54
98,2019-04-09,-1.69,-2.3
99,2019-04-10,3.07,1.45
100,2019-04-11,-5.47,-7.37
101,2019-04-12,0.61,-0.53
102,2019-04-13,-0.04,-0.13
103,2019-04-14,1.66,2.6
104,2019-04-15,-2.07,-4.34
105,2019-04-16,2.96,3.41
106,2019-04-17,0.56,0.21
107,2019-04-18,1.08,4.57
108,2019-04-19,0.0,-0.4
109,2019-04-20,0.63,0.13
110,2019-04-21,-0.69,-2.49
111,2019-04-22,1.9,1.14
112,2019-04-23,2.54,-0.8
113,2019-04-24,-1.38,-2.58
114,2019-04-25,-3.6,-6.11
115,2019-04-26,1.79,2.1
116,2019-04-27,-0.36,0.87
117,2019-04-28,0.22,-0.92
118,2019-04-29,-1.35,-1.74
119,2019-04-30,1.58,4.31
120,2019-05-01,1.15,-1.03
121,2019-05-02,2.04,1.0
122,2019-05-03,5.06,3.86
123,2019-05-04,1.02,-2.62
124,2019-05-05,-0.93,-0.4
125,2019-05-06,-0.44,6.1
126,2019-05-07,1.68,-2.2
127,2019-05-08,2.41,1.05
128,2019-05-09,3.72,0.01
129,2019-05-10,2.63,1.14
130,2019-05-11,11.0,9.99
131,2019-05-12,-1.54,-1.1
132,2019-05-13,11.8,4.13
133,2019-05-14,1.95,10.5
134,2019-05-15,2.83,14.65
135,2019-05-16,-3.7,6.53
136,2019-05-17,-6.52,-7.58
137,2019-05-18,-1.33,-4.38
138,2019-05-19,12.28,11.11
139,2019-05-20,-2.57,-3.47
140,2019-05-21,-0.41,1.18
141,2019-05-22,-3.49,-3.83
142,2019-05-23,2.93,0.36
143,2019-05-24,1.46,1.73
144,2019-05-25,0.76,0.55
145,2019-05-26,7.37,5.71
146,2019-05-27,1.67,2.34
147,2019-05-28,-0.42,0.12
148,2019-05-29,-0.82,-0.83
149,2019-05-30,-4.36,-5.34
150,2019-05-31,3.48,5.23
151,2019-06-01,-0.13,-1.33
152,2019-06-02,2.12,1.72
153,2019-06-03,-6.99,-7.05
154,2019-06-04,-5.28,-3.45
155,2019-06-05,1.16,1.73
156,2019-06-06,0.11,1.28
157,2019-06-07,2.48,0.0
158,2019-06-08,-1.07,-2.22
159,2019-06-09,-3.38,-5.08
160,2019-06-10,4.66,6.71
161,2019-06-11,-1.2,-0.94
162,2019-06-12,3.08,6.87
163,2019-06-13,1.12,-2.47
164,2019-06-14,5.28,3.06
165,2019-06-15,1.82,2.03
166,2019-06-16,1.62,-0.02
167,2019-06-17,4.03,2.03
168,2019-06-18,-2.48,-3.1
169,2019-06-19,1.91,1.31
170,2019-06-20,2.85,1.14
171,2019-06-21,6.74,8.51
172,2019-06-22,5.61,5.62
173,2019-06-23,1.65,-0.7
174,2019-06-24,1.38,1.04
175,2019-06-25,6.91,2.12
176,2019-06-26,10.76,6.63
177,2019-06-27,-13.5,-12.13
178,2019-06-28,9.45,4.26
179,2019-06-29,-4.06,2.15
180,2019-06-30,-8.81,-7.85
181,2019-07-01,-2.11,0.74
182,2019-07-02,2.05,-1.2
183,2019-07-03,10.1,3.32
184,2019-07-04,-6.65,-6.1
185,2019-07-05,-1.57,1.63
186,2019-07-06,2.5,0.34
187,2019-07-07,1.33,5.7
188,2019-07-08,7.26,2.38
189,2019-07-09,2.49,-1.44
190,2019-07-10,-3.51,-5.93
191,2019-07-11,-6.32,-7.12
192,2019-07-12,3.65,2.21
193,2019-07-13,-3.41,-2.09
194,2019-07-14,-10.41,-15.98
195,2019-07-15,6.53,1.05
196,2019-07-16,-12.87,-12.85
197,2019-07-17,2.52,5.97
198,2019-07-18,9.91,7.08
199,2019-07-19,-1.17,-2.22
200,2019-07-20,2.23,3.33
201,2019-07-21,-1.4,-1.26
202,2019-07-22,-2.36,-3.54
203,2019-07-23,-4.62,-2.35
204,2019-07-24,-1.03,1.77
205,2019-07-25,1.19,1.31
206,2019-07-26,-0.59,-0.15
207,2019-07-27,-3.54,-5.26
208,2019-07-28,0.66,2.08
209,2019-07-29,-0.36,-0.33
210,2019-07-30,0.69,-0.6
211,2019-07-31,5.28,4.22
212,2019-08-01,2.92,-0.72
213,2019-08-02,1.43,0.37
214,2019-08-03,2.79,2.04
215,2019-08-04,1.04,-0.16
216,2019-08-05,8.22,5.3
217,2019-08-06,-2.94,-3.1
218,2019-08-07,4.3,-0.09
219,2019-08-08,0.21,-2.09
220,2019-08-09,-0.95,-4.9
221,2019-08-10,-4.8,-1.92
222,2019-08-11,2.13,4.81
223,2019-08-12,-1.24,-2.31
224,2019-08-13,-4.44,-1.08
225,2019-08-14,-7.74,-10.61
226,2019-08-15,2.37,0.51
227,2019-08-16,0.34,-1.65
228,2019-08-17,-1.11,0.41
229,2019-08-18,0.89,4.66
230,2019-08-19,5.91,4.1
231,2019-08-20,-1.41,-2.79
232,2019-08-21,-5.74,-4.63
233,2019-08-22,-0.4,1.55
234,2019-08-23,2.87,1.92
235,2019-08-24,-2.44,-1.76
236,2019-08-25,0.08,-2.13
237,2019-08-26,2.26,1.14
238,2019-08-27,-1.82,-0.73
239,2019-08-28,-4.56,-7.62
240,2019-08-29,-2.29,-2.32
241,2019-08-30,0.9,-0.31
242,2019-08-31,0.05,1.83
243,2019-09-01,1.42,-0.45
244,2019-09-02,6.34,4.29
245,2019-09-03,2.66,0.42
246,2019-09-04,-0.42,-2.28
247,2019-09-05,-0.01,-0.54
248,2019-09-06,-2.5,-2.68
249,2019-09-07,1.53,5.03
250,2019-09-08,-0.71,2.03
251,2019-09-09,-0.75,-0.35
252,2019-09-10,-1.98,-0.39
253,2019-09-11,0.6,-0.88
254,2019-09-12,2.52,1.36
255,2019-09-13,-0.7,0.13
256,2019-09-14,-0.09,3.96
257,2019-09-15,-0.3,0.47
258,2019-09-16,-0.5,4.32
259,2019-09-17,-0.6,5.38
260,2019-09-18,-0.3,1.14
261,2019-09-19,0.87,4.74
262,2019-09-20,-0.73,-1.01
263,2019-09-21,-1.79,-1.36
264,2019-09-22,0.44,-1.79
265,2019-09-23,-3.25,-4.69
266,2019-09-24,-12.46,-17.61
267,2019-09-25,-0.79,2.56
268,2019-09-26,-4.35,-2.38
269,2019-09-27,1.42,4.74
270,2019-09-28,0.26,-0.2
271,2019-09-29,-1.9,-2.46
272,2019-09-30,3.06,6.85
273,2019-10-01,0.03,-2.89
274,2019-10-02,0.81,2.61
275,2019-10-03,-1.63,-3.08
276,2019-10-04,-1.06,0.48
277,2019-10-05,-0.13,0.4
278,2019-10-06,-3.36,-3.48
279,2019-10-07,4.26,5.74
280,2019-10-08,-0.27,0.4
281,2019-10-09,4.77,6.65
282,2019-10-10,-0.05,-0.76
283,2019-10-11,-3.5,-5.47
284,2019-10-12,0.51,-0.54
285,2019-10-13,-0.32,0.75
286,2019-10-14,0.88,3.17
287,2019-10-15,-2.25,-3.33
288,2019-10-16,-2.05,-3.35
289,2019-10-17,0.95,1.51
290,2019-10-18,-1.53,-2.5
291,2019-10-19,0.01,-0.57
292,2019-10-20,3.44,1.97
293,2019-10-21,-0.32,-0.69
294,2019-10-22,-2.16,-1.61
295,2019-10-23,-6.9,-5.16
296,2019-10-24,-0.75,-1.21
297,2019-10-25,16.76,13.16
298,2019-10-26,6.63,-1.12
299,2019-10-27,3.25,2.41
300,2019-10-28,-3.39,-1.15
301,2019-10-29,2.21,4.84
302,2019-10-30,-2.69,-3.84
303,2019-10-31,-0.14,-0.52
304,2019-11-01,0.99,0.36
305,2019-11-02,0.63,0.03
306,2019-11-03,-1.02,-0.74
307,2019-11-04,2.14,2.3
308,2019-11-05,-0.89,1.6
309,2019-11-06,0.34,1.33
310,2019-11-07,-1.32,-2.34
311,2019-11-08,-4.78,-1.57
312,2019-11-09,0.41,0.64
313,2019-11-10,2.61,2.22
314,2019-11-11,-3.39,-2.11
315,2019-11-12,1.01,1.14
316,2019-11-13,-0.51,0.55
317,2019-11-14,-1.49,-1.67
318,2019-11-15,-2.02,-2.67
319,2019-11-16,0.23,1.32
320,2019-11-17,0.14,0.8
321,2019-11-18,-3.71,-3.06
322,2019-11-19,-0.65,-1.27
323,2019-11-20,-0.44,-0.69
324,2019-11-21,-5.81,-7.86
325,2019-11-22,-4.71,-7.12
326,2019-11-23,0.6,1.53
327,2019-11-24,-5.58,-7.82
328,2019-11-25,3.03,4.07
329,2019-11-26,0.65,1.14
330,2019-11-27,4.94,3.49
331,2019-11-28,-1.18,-1.24
332,2019-11-29,4.33,2.57
333,2019-11-30,-2.57,-2.05
334,2019-12-01,-1.99,-0.46
335,2019-12-02,-1.32,-1.37
336,2019-12-03,-0.02,-1.0
337,2019-12-04,-1.35,-1.23
338,2019-12-05,2.7,1.82
339,2019-12-06,1.87,0.23
340,2019-12-07,-0.53,-0.89
341,2019-12-08,0.3,2.23
342,2019-12-09,-2.28,-2.03
343,2019-12-10,-1.56,-1.25
344,2019-12-11,-0.2,-1.47
345,2019-12-12,-0.17,1.02
346,2019-12-13,0.84,-0.05
347,2019-12-14,-2.66,-2.08
348,2019-12-15,0.77,0.47
349,2019-12-16,-3.2,-6.83
350,2019-12-17,-3.88,-8.17
351,2019-12-18,9.87,8.94
352,2019-12-19,-1.75,-3.54
353,2019-12-20,0.51,0.07
354,2019-12-21,-0.77,-0.94
355,2019-12-22,5.19,4.01
356,2019-12-23,-2.45,-3.27
357,2019-12-24,-0.84,-0.04
358,2019-12-25,-0.7,-2.04
359,2019-12-26,-0.04,0.39
360,2019-12-27,0.73,0.57
361,2019-12-28,0.85,1.45
362,2019-12-29,1.0,4.88
363,2019-12-30,-1.93,-2.06
364,2019-12-31,-0.7,-1.86
365,2020-01-01,0.08,1.25
366,2020-01-02,-3.26,-2.7
367,2020-01-03,5.45,5.63
368,2020-01-04,0.12,-0.13
369,2020-01-05,0.06,0.87
370,2020-01-06,5.44,6.49
371,2020-01-07,4.98,-0.93
372,2020-01-08,-1.1,-1.46
373,2020-01-09,-2.94,-2.15
374,2020-01-10,4.85,5.16
375,2020-01-11,-2.18,-1.69
376,2020-01-12,2.06,2.91
377,2020-01-13,-0.91,-2.03
378,2020-01-14,8.63,15.36
379,2020-01-15,0.08,0.48
380,2020-01-16,-1.13,-1.32
381,2020-01-17,2.21,3.42
382,2020-01-18,0.03,2.48
383,2020-01-19,-2.39,-4.2
384,2020-01-20,-0.68,0.05
385,2020-01-21,1.08,1.58
386,2020-01-22,-0.61,-0.83
387,2020-01-23,-3.2,-3.13
388,2020-01-24,0.41,-0.19
389,2020-01-25,-1.17,-1.33
390,2020-01-26,3.3,4.68
391,2020-01-27,3.4,1.29
392,2020-01-28,5.24,3.29
393,2020-01-29,-0.79,-1.06
394,2020-01-30,2.28,6.34
395,2020-01-31,-1.67,-2.56
396,2020-02-01,0.35,2.03
397,2020-02-02,-0.56,2.62
398,2020-02-03,-0.42,0.64
399,2020-02-04,-1.02,-0.44
400,2020-02-05,4.51,7.87
401,2020-02-06,1.66,4.62
402,2020-02-07,0.43,4.77
403,2020-02-08,0.83,-0.14
404,2020-02-09,2.59,2.46
405,2020-02-10,-2.95,-2.47
406,2020-02-11,3.77,6.19
407,2020-02-12,1.01,12.27
408,2020-02-13,-0.93,0.97
409,2020-02-14,1.14,6.26
410,2020-02-15,-4.25,-7.1
411,2020-02-16,0.13,-2.29
412,2020-02-17,-2.07,3.46
413,2020-02-18,4.73,5.49
414,2020-02-19,-5.62,-8.56
415,2020-02-20,0.02,-0.57
416,2020-02-21,0.83,3.23
417,2020-02-22,-0.27,-1.41
418,2020-02-23,2.96,4.94
419,2020-02-24,-2.82,-3.27
420,2020-02-25,-3.52,-7.08
421,2020-02-26,-5.7,-9.22
422,2020-02-27,0.42,1.7
423,2020-02-28,-1.48,-0.43
424,2020-02-29,-1.92,-4.21
425,2020-03-01,0.1,0.24
426,2020-03-02,4.51,6.5
427,2020-03-03,-1.7,-3.53
428,2020-03-04,-0.11,0.19
429,2020-03-05,3.47,1.84
430,2020-03-06,0.85,7.22
431,2020-03-07,-2.67,-3.14
432,2020-03-08,-9.59,-15.93
433,2020-03-09,-1.31,1.69
434,2020-03-10,-0.45,-1.03
435,2020-03-11,0.51,-3.05
436,2020-03-12,-39.51,-44.6
437,2020-03-13,16.22,24.51
438,2020-03-14,-7.25,-8.59
439,2020-03-15,3.65,1.01
440,2020-03-16,-6.18,-10.34
441,2020-03-17,5.64,4.19
442,2020-03-18,1.51,2.11
443,2020-03-19,14.26,15.4
444,2020-03-20,0.75,-2.07
445,2020-03-21,-0.28,-0.62
446,2020-03-22,-5.99,-7.77
447,2020-03-23,11.2,11.13
448,2020-03-24,4.32,1.86
449,2020-03-25,-1.0,-1.68
450,2020-03-26,0.9,1.68
451,2020-03-27,-5.61,-5.11
452,2020-03-28,-1.93,-0.27
453,2020-03-29,-5.7,-4.92
454,2020-03-30,8.74,6.1
455,2020-03-31,0.25,0.48
456,2020-04-01,3.6,2.24
457,2020-04-02,2.27,4.15
458,2020-04-03,-0.88,0.03
459,2020-04-04,1.84,1.98
460,2020-04-05,-1.23,-0.99
461,2020-04-06,8.23,20.06
462,2020-04-07,-1.81,-3.9
463,2020-04-08,2.28,5.16
464,2020-04-09,-1.04,-2.1
465,2020-04-10,-5.83,-6.93
466,2020-04-11,0.26,0.33
467,2020-04-12,0.39,0.16
468,2020-04-13,-0.95,-1.43
469,2020-04-14,0.45,1.39
470,2020-04-15,-3.6,-3.62
471,2020-04-16,7.26,12.8
472,2020-04-17,-1.05,-0.94
473,2020-04-18,3.16,9.84
474,2020-04-19,-1.76,-3.93
475,2020-04-20,-4.14,-5.45
476,2020-04-21,0.18,0.31
477,2020-04-22,4.15,7.01
478,2020-04-23,5.01,1.54
479,2020-04-24,0.28,1.09
480,2020-04-25,0.45,3.52
481,2020-04-26,2.04,1.63
482,2020-04-27,1.06,-0.53
483,2020-04-28,-0.44,-0.05
484,2020-04-29,13.44,9.74
485,2020-04-30,-1.81,-4.33
486,2020-05-01,2.4,2.89
487,2020-05-02,1.66,0.89
488,2020-05-03,-0.87,-1.88
489,2020-05-04,-0.25,-1.61
490,2020-05-05,1.69,-0.57
491,2020-05-06,1.35,-3.08
492,2020-05-07,9.22,6.58
493,2020-05-08,-1.87,-0.33
494,2020-05-09,-2.66,-0.59
495,2020-05-10,-8.56,-10.73
496,2020-05-11,-1.85,-1.01
497,2020-05-12,2.91,2.13
498,2020-05-13,5.66,5.17
499,2020-05-14,5.18,1.84
500,2020-05-15,-4.86,-4.15
501,2020-05-16,0.7,2.86
502,2020-05-17,3.19,3.27
503,2020-05-18,0.55,3.81
504,2020-05-19,0.43,-0.16
505,2020-05-20,-2.7,-2.15
506,2020-05-21,-4.66,-5.36
507,2020-05-22,1.13,4.35
508,2020-05-23,0.1,-0.37
509,2020-05-24,-5.0,-3.24
510,2020-05-25,2.09,2.13
511,2020-05-26,-0.66,-1.63
512,2020-05-27,4.11,3.67
